travel_date,month,month_name,year,origin,destination,airline,booking_window,seasonal_mult,base_price,final_price
2024-08-04,8,August,2024,Los Angeles (LAX),Tokyo (NRT),Delta Airlines,75,0.95,838,700.02
2024-12-25,12,December,2024,New York (JFK),Osaka (KIX),United Airlines,70,1.0,1235,1292.65
2023-07-07,7,July,2023,Seattle (SEA),Tokyo (HND),Delta Airlines,119,0.92,847,758.51
2023-10-21,10,October,2023,San Francisco (SFO),Tokyo (HND),American Airlines,77,1.3,765,922.84
2023-11-09,11,November,2023,Chicago (ORD),Osaka (KIX),ANA,169,1.25,1235,1422.64
2023-11-17,11,November,2023,New York (JFK),Tokyo (HND),Delta Airlines,30,1.25,1176,1692.92
2023-04-06,4,April,2023,New York (JFK),Tokyo (NRT),ANA,49,1.55,1235,2154.4
2023-10-20,10,October,2023,Seattle (SEA),Tokyo (NRT),Japan Airlines,148,1.3,918,1138.16
2024-11-24,11,November,2024,Chicago (ORD),Tokyo (NRT),Delta Airlines,137,1.25,1141,1376.39
2024-06-11,6,June,2024,Los Angeles (LAX),Tokyo (HND),Delta Airlines,180,0.88,882,697.58
2024-02-20,2,February,2024,Seattle (SEA),Osaka (KIX),Japan Airlines,10,0.85,965,809.85
2024-03-11,3,March,2024,Seattle (SEA),Tokyo (NRT),Japan Airlines,143,1.45,918,1163.61
2024-12-01,12,December,2024,San Francisco (SFO),Tokyo (NRT),American Airlines,162,1.0,788,741.31
2023-06-22,6,June,2023,New York (JFK),Osaka (KIX),Delta Airlines,179,0.88,1282,1002.76
2023-03-18,3,March,2023,Seattle (SEA),Tokyo (NRT),ANA,100,1.45,847,1184.92
2023-02-22,2,February,2023,Los Angeles (LAX),Osaka (KIX),United Airlines,115,0.85,765,571.96
2024-01-18,1,January,2024,Chicago (ORD),Tokyo (HND),ANA,35,0.82,1118,1127.78
2024-07-06,7,July,2024,San Francisco (SFO),Osaka (KIX),ANA,37,0.92,871,937.49
2023-10-28,10,October,2023,San Francisco (SFO),Tokyo (HND),Delta Airlines,74,1.3,835,1163.12
2024-02-08,2,February,2024,Los Angeles (LAX),Tokyo (NRT),American Airlines,62,0.85,759,686.7
2023-02-06,2,February,2023,San Francisco (SFO),Osaka (KIX),American Airlines,125,0.85,835,616.76
2023-12-31,12,December,2023,Seattle (SEA),Tokyo (HND),Japan Airlines,8,1.0,871,1011.01
2023-11-02,11,November,2023,Seattle (SEA),Tokyo (HND),United Airlines,97,1.25,800,914.8
2023-07-10,7,July,2023,New York (JFK),Tokyo (NRT),United Airlines,109,0.92,1153,964.3
2024-03-17,3,March,2024,San Francisco (SFO),Tokyo (NRT),Japan Airlines,132,1.45,894,1194.85
2024-06-10,6,June,2024,Los Angeles (LAX),Tokyo (NRT),American Airlines,46,0.88,759,683.37
2023-01-08,1,January,2023,Chicago (ORD),Tokyo (NRT),Delta Airlines,46,0.82,1141,885.87
2024-02-09,2,February,2024,San Francisco (SFO),Tokyo (NRT),Delta Airlines,102,0.85,859,643.81
2023-07-06,7,July,2023,San Francisco (SFO),Tokyo (HND),Delta Airlines,144,0.92,835,770.52
2024-11-03,11,November,2024,San Francisco (SFO),Tokyo (NRT),Delta Airlines,119,1.25,859,1093.79
2024-03-20,3,March,2024,Los Angeles (LAX),Tokyo (NRT),United Airlines,8,1.45,735,1204.8
2023-04-24,4,April,2023,San Francisco (SFO),Osaka (KIX),ANA,55,1.55,871,1462.49
2024-02-09,2,February,2024,San Francisco (SFO),Tokyo (NRT),ANA,114,0.85,824,596.36
2024-11-13,11,November,2024,San Francisco (SFO),Tokyo (NRT),ANA,57,1.25,824,983.08
2023-05-02,5,May,2023,Chicago (ORD),Osaka (KIX),United Airlines,114,1.4,1165,1392.38
2024-11-29,11,November,2024,Chicago (ORD),Osaka (KIX),Delta Airlines,39,1.25,1224,1863.31
2024-02-03,2,February,2024,San Francisco (SFO),Tokyo (HND),American Airlines,40,0.85,765,700.95
2023-05-10,5,May,2023,New York (JFK),Tokyo (NRT),Japan Airlines,46,1.4,1294,1973.85
2024-12-01,12,December,2024,San Francisco (SFO),Osaka (KIX),Japan Airlines,67,1.0,941,859.77
2024-03-15,3,March,2024,New York (JFK),Osaka (KIX),United Airlines,159,1.45,1235,1865.92
2023-10-24,10,October,2023,New York (JFK),Tokyo (HND),Delta Airlines,79,1.3,1176,1445.07
2023-09-11,9,September,2023,Chicago (ORD),Tokyo (NRT),Delta Airlines,165,1.05,1141,1148.13
2023-07-11,7,July,2023,Los Angeles (LAX),Osaka (KIX),American Airlines,70,0.92,788,640.29
2024-12-18,12,December,2024,San Francisco (SFO),Tokyo (NRT),United Airlines,70,1.0,765,828.97
2024-12-24,12,December,2024,Chicago (ORD),Tokyo (NRT),Delta Airlines,33,1.0,1141,1191.48
2023-07-13,7,July,2023,Seattle (SEA),Osaka (KIX),ANA,158,0.92,894,741.06
2023-05-16,5,May,2023,Los Angeles (LAX),Tokyo (NRT),Japan Airlines,109,1.4,870,1231.0
2023-05-30,5,May,2023,New York (JFK),Tokyo (HND),ANA,116,1.4,1200,1688.94
2023-04-04,4,April,2023,New York (JFK),Osaka (KIX),ANA,20,1.55,1318,2301.03
2023-11-10,11,November,2023,Chicago (ORD),Tokyo (HND),American Airlines,169,1.25,1082,1343.53
2024-03-12,3,March,2024,Los Angeles (LAX),Tokyo (NRT),United Airlines,129,1.45,735,1003.1
2024-10-21,10,October,2024,New York (JFK),Osaka (KIX),Delta Airlines,20,1.3,1282,1891.99
2024-01-08,1,January,2024,San Francisco (SFO),Tokyo (NRT),United Airlines,78,0.82,765,560.22
2023-09-10,9,September,2023,San Francisco (SFO),Osaka (KIX),Delta Airlines,88,1.05,906,954.62
2023-01-01,1,January,2023,New York (JFK),Tokyo (NRT),Japan Airlines,20,0.82,1294,1074.58
2024-04-28,4,April,2024,San Francisco (SFO),Tokyo (NRT),United Airlines,78,1.55,765,1266.66
2023-07-09,7,July,2023,Seattle (SEA),Tokyo (NRT),Delta Airlines,71,0.92,871,741.87
2023-11-08,11,November,2023,Chicago (ORD),Tokyo (HND),United Airlines,35,1.25,1082,1489.77
2024-11-30,11,November,2024,New York (JFK),Osaka (KIX),Japan Airlines,148,1.25,1376,1626.48
2024-01-06,1,January,2024,Los Angeles (LAX),Tokyo (HND),United Airlines,157,0.82,735,613.85
2023-09-01,9,September,2023,Seattle (SEA),Osaka (KIX),United Airlines,173,1.05,847,769.3
2024-01-29,1,January,2024,San Francisco (SFO),Tokyo (NRT),American Airlines,29,0.82,788,747.09
2023-05-04,5,May,2023,New York (JFK),Tokyo (NRT),American Airlines,17,1.4,1165,1789.22
2023-07-17,7,July,2023,Seattle (SEA),Osaka (KIX),ANA,121,0.92,894,771.72
2024-09-25,9,September,2024,New York (JFK),Tokyo (NRT),American Airlines,94,1.05,1165,1148.06
2023-07-26,7,July,2023,San Francisco (SFO),Osaka (KIX),Delta Airlines,143,0.92,906,718.07
2023-07-16,7,July,2023,Los Angeles (LAX),Tokyo (NRT),ANA,114,0.92,795,714.66
2024-07-27,7,July,2024,Seattle (SEA),Osaka (KIX),United Airlines,95,0.92,847,664.46
2024-03-22,3,March,2024,San Francisco (SFO),Tokyo (HND),Japan Airlines,24,1.45,847,1438.29
2024-05-30,5,May,2024,Chicago (ORD),Tokyo (HND),American Airlines,12,1.4,1082,1729.79
2024-12-14,12,December,2024,Los Angeles (LAX),Osaka (KIX),United Airlines,40,1.0,765,713.72
2023-03-04,3,March,2023,San Francisco (SFO),Tokyo (NRT),American Airlines,55,1.45,788,1175.88
2024-06-09,6,June,2024,Chicago (ORD),Tokyo (HND),American Airlines,26,0.88,1082,983.53
2024-01-29,1,January,2024,Los Angeles (LAX),Tokyo (HND),American Airlines,150,0.82,759,555.27
2023-10-06,10,October,2023,Chicago (ORD),Tokyo (HND),American Airlines,59,1.3,1082,1402.65
2024-08-08,8,August,2024,Los Angeles (LAX),Tokyo (NRT),ANA,62,0.95,795,745.32
2024-06-09,6,June,2024,Seattle (SEA),Osaka (KIX),Japan Airlines,123,0.88,965,751.03
2023-09-23,9,September,2023,Seattle (SEA),Osaka (KIX),American Airlines,84,1.05,871,821.1
2024-07-19,7,July,2024,Los Angeles (LAX),Tokyo (HND),United Airlines,37,0.92,735,771.12
2024-06-30,6,June,2024,Los Angeles (LAX),Tokyo (NRT),Japan Airlines,67,0.88,870,734.67
2023-10-12,10,October,2023,San Francisco (SFO),Tokyo (NRT),ANA,41,1.3,824,1196.5
2023-08-04,8,August,2023,San Francisco (SFO),Tokyo (NRT),ANA,143,0.95,824,791.03
2024-10-09,10,October,2024,New York (JFK),Tokyo (NRT),United Airlines,161,1.3,1153,1353.97
2024-12-23,12,December,2024,San Francisco (SFO),Tokyo (HND),Japan Airlines,147,1.0,847,755.81
2024-02-23,2,February,2024,San Francisco (SFO),Osaka (KIX),ANA,163,0.85,871,674.97
2024-10-02,10,October,2024,San Francisco (SFO),Tokyo (HND),Japan Airlines,9,1.3,847,1294.83
2023-06-30,6,June,2023,San Francisco (SFO),Tokyo (NRT),United Airlines,72,0.88,765,672.32
2023-04-19,4,April,2023,New York (JFK),Osaka (KIX),American Airlines,104,1.55,1247,1646.81
2024-07-18,7,July,2024,San Francisco (SFO),Osaka (KIX),American Airlines,59,0.92,835,698.9
2023-10-03,10,October,2023,Chicago (ORD),Tokyo (NRT),United Airlines,59,1.3,1082,1246.37
2023-06-09,6,June,2023,Seattle (SEA),Osaka (KIX),Delta Airlines,121,0.88,918,849.17
2024-01-13,1,January,2024,Los Angeles (LAX),Osaka (KIX),Delta Airlines,44,0.82,847,765.66
2023-07-05,7,July,2023,Chicago (ORD),Tokyo (NRT),Delta Airlines,124,0.92,1141,845.4
2024-08-06,8,August,2024,Los Angeles (LAX),Tokyo (NRT),ANA,132,0.95,795,766.88
2023-01-22,1,January,2023,Los Angeles (LAX),Osaka (KIX),United Airlines,86,0.82,765,591.14
2024-12-04,12,December,2024,Los Angeles (LAX),Tokyo (NRT),Delta Airlines,162,1.0,838,766.02
2023-03-15,3,March,2023,Los Angeles (LAX),Tokyo (NRT),ANA,116,1.45,795,1046.47
2023-04-13,4,April,2023,Los Angeles (LAX),Tokyo (HND),Delta Airlines,141,1.55,882,1280.52
2024-09-09,9,September,2024,Los Angeles (LAX),Osaka (KIX),Japan Airlines,32,1.05,874,937.12
2023-04-23,4,April,2023,Chicago (ORD),Tokyo (HND),Japan Airlines,10,1.55,1188,1769.81
2023-03-27,3,March,2023,New York (JFK),Tokyo (NRT),ANA,75,1.45,1235,1579.11
2023-01-14,1,January,2023,Los Angeles (LAX),Osaka (KIX),American Airlines,9,0.82,788,707.62
2024-12-25,12,December,2024,New York (JFK),Osaka (KIX),United Airlines,28,1.0,1235,1280.3
2024-07-30,7,July,2024,Los Angeles (LAX),Tokyo (NRT),Delta Airlines,120,0.92,838,743.83
2024-05-05,5,May,2024,Los Angeles (LAX),Tokyo (HND),United Airlines,46,1.4,735,1130.14
2024-12-09,12,December,2024,Los Angeles (LAX),Tokyo (NRT),American Airlines,75,1.0,759,672.72
2023-02-15,2,February,2023,Seattle (SEA),Tokyo (NRT),Japan Airlines,33,0.85,918,887.77
2024-06-07,6,June,2024,Seattle (SEA),Tokyo (HND),Japan Airlines,113,0.88,871,739.6
2023-01-25,1,January,2023,Los Angeles (LAX),Tokyo (NRT),ANA,65,0.82,795,669.18
2023-12-28,12,December,2023,Chicago (ORD),Tokyo (HND),ANA,174,1.0,1118,1093.65
2024-12-04,12,December,2024,San Francisco (SFO),Tokyo (NRT),Delta Airlines,35,1.0,859,963.17
2023-08-18,8,August,2023,Chicago (ORD),Tokyo (NRT),Japan Airlines,33,0.95,1235,1311.31
2024-09-22,9,September,2024,San Francisco (SFO),Tokyo (HND),Japan Airlines,92,1.05,847,718.5
2023-02-14,2,February,2023,New York (JFK),Tokyo (HND),Japan Airlines,161,0.85,1247,946.52
2024-06-27,6,June,2024,Los Angeles (LAX),Tokyo (NRT),Delta Airlines,92,0.88,838,676.39
2023-06-03,6,June,2023,Seattle (SEA),Tokyo (NRT),Delta Airlines,177,0.88,871,612.35
2023-12-23,12,December,2023,San Francisco (SFO),Osaka (KIX),United Airlines,33,1.0,812,799.92
2023-09-29,9,September,2023,San Francisco (SFO),Tokyo (HND),United Airlines,26,1.05,765,751.93
2023-11-24,11,November,2023,New York (JFK),Tokyo (NRT),ANA,44,1.25,1235,1654.87
2023-03-10,3,March,2023,Chicago (ORD),Tokyo (HND),Delta Airlines,35,1.45,1106,1680.36
2023-05-29,5,May,2023,Seattle (SEA),Tokyo (HND),United Airlines,30,1.4,800,1389.16
2024-01-30,1,January,2024,San Francisco (SFO),Tokyo (NRT),ANA,97,0.82,824,613.64
2024-05-07,5,May,2024,San Francisco (SFO),Tokyo (HND),Delta Airlines,112,1.4,835,1022.48
2023-05-22,5,May,2023,Seattle (SEA),Osaka (KIX),United Airlines,174,1.4,847,961.78
2024-07-16,7,July,2024,Los Angeles (LAX),Tokyo (HND),Delta Airlines,134,0.92,882,701.72
2024-06-29,6,June,2024,Seattle (SEA),Osaka (KIX),Delta Airlines,144,0.88,918,705.97
2024-08-17,8,August,2024,Los Angeles (LAX),Tokyo (HND),Japan Airlines,114,0.95,811,656.61
2024-12-20,12,December,2024,Seattle (SEA),Osaka (KIX),ANA,29,1.0,894,837.01
2023-07-28,7,July,2023,Los Angeles (LAX),Tokyo (HND),Japan Airlines,11,0.92,811,856.08
2023-05-17,5,May,2023,San Francisco (SFO),Osaka (KIX),Delta Airlines,35,1.4,906,1490.24
2023-05-23,5,May,2023,New York (JFK),Tokyo (HND),United Airlines,82,1.4,1153,1475.15
2024-03-07,3,March,2024,Chicago (ORD),Tokyo (NRT),American Airlines,69,1.45,1106,1521.64
2023-05-22,5,May,2023,Los Angeles (LAX),Tokyo (NRT),Japan Airlines,37,1.4,870,1268.08
2024-12-13,12,December,2024,Los Angeles (LAX),Tokyo (HND),Japan Airlines,115,1.0,811,663.29
2024-11-09,11,November,2024,San Francisco (SFO),Tokyo (NRT),Japan Airlines,155,1.25,894,1147.09
2023-06-11,6,June,2023,New York (JFK),Tokyo (HND),American Airlines,14,0.88,1141,1242.24
2023-03-22,3,March,2023,Los Angeles (LAX),Tokyo (HND),ANA,69,1.45,779,1190.27
2024-03-02,3,March,2024,New York (JFK),Tokyo (NRT),American Airlines,45,1.45,1165,1554.06
2024-06-24,6,June,2024,Los Angeles (LAX),Tokyo (HND),ANA,83,0.88,779,650.34
2024-03-30,3,March,2024,Chicago (ORD),Tokyo (HND),United Airlines,172,1.45,1082,1418.22
2023-06-09,6,June,2023,New York (JFK),Tokyo (HND),Japan Airlines,22,0.88,1247,1195.69
2024-05-30,5,May,2024,New York (JFK),Osaka (KIX),ANA,48,1.4,1318,1735.19
2024-11-27,11,November,2024,New York (JFK),Tokyo (HND),Delta Airlines,123,1.25,1176,1490.42
2024-08-08,8,August,2024,Seattle (SEA),Osaka (KIX),United Airlines,135,0.95,847,744.5
2024-03-09,3,March,2024,San Francisco (SFO),Osaka (KIX),ANA,47,1.45,871,1221.17
2024-01-22,1,January,2024,San Francisco (SFO),Tokyo (NRT),American Airlines,39,0.82,788,673.4
2023-02-27,2,February,2023,Los Angeles (LAX),Tokyo (HND),American Airlines,63,0.85,759,556.21
2024-09-11,9,September,2024,Chicago (ORD),Tokyo (NRT),American Airlines,26,1.05,1106,1473.77
2024-10-30,10,October,2024,Chicago (ORD),Tokyo (HND),United Airlines,171,1.3,1082,1199.2
2023-02-25,2,February,2023,Chicago (ORD),Tokyo (HND),ANA,102,0.85,1118,802.82
2023-04-22,4,April,2023,Chicago (ORD),Tokyo (NRT),United Airlines,33,1.55,1082,1928.57
2023-12-10,12,December,2023,New York (JFK),Tokyo (HND),American Airlines,14,1.0,1141,1254.56
2024-07-08,7,July,2024,Los Angeles (LAX),Tokyo (HND),ANA,34,0.92,779,855.11
2023-01-12,1,January,2023,New York (JFK),Tokyo (NRT),American Airlines,86,0.82,1165,991.9
2024-10-15,10,October,2024,Los Angeles (LAX),Osaka (KIX),ANA,15,1.3,808,1131.26
2024-08-06,8,August,2024,Los Angeles (LAX),Tokyo (HND),Japan Airlines,151,0.95,811,679.92
2023-02-16,2,February,2023,New York (JFK),Osaka (KIX),Delta Airlines,19,0.85,1282,1361.23
2023-01-09,1,January,2023,San Francisco (SFO),Tokyo (NRT),United Airlines,98,0.82,765,615.64
2023-07-19,7,July,2023,San Francisco (SFO),Tokyo (HND),American Airlines,87,0.92,765,614.25
2023-05-13,5,May,2023,Chicago (ORD),Osaka (KIX),United Airlines,179,1.4,1165,1460.25
2024-05-30,5,May,2024,New York (JFK),Tokyo (HND),Delta Airlines,32,1.4,1176,1651.96
2024-08-24,8,August,2024,Seattle (SEA),Tokyo (NRT),Japan Airlines,104,0.95,918,850.62
2023-10-25,10,October,2023,Chicago (ORD),Osaka (KIX),Japan Airlines,48,1.3,1318,1597.1
2023-03-22,3,March,2023,Los Angeles (LAX),Osaka (KIX),Delta Airlines,167,1.45,847,1026.44
2023-08-09,8,August,2023,New York (JFK),Osaka (KIX),ANA,174,0.95,1318,1117.89
2024-05-28,5,May,2024,Los Angeles (LAX),Osaka (KIX),ANA,139,1.4,808,1092.16
2023-12-16,12,December,2023,Seattle (SEA),Osaka (KIX),American Airlines,121,1.0,871,803.65
2024-01-04,1,January,2024,Los Angeles (LAX),Tokyo (HND),United Airlines,166,0.82,735,516.35
2023-09-02,9,September,2023,Chicago (ORD),Tokyo (NRT),Delta Airlines,60,1.05,1141,1236.55
2023-06-06,6,June,2023,Seattle (SEA),Osaka (KIX),Japan Airlines,152,0.88,965,738.54
2023-05-27,5,May,2023,Chicago (ORD),Tokyo (NRT),Japan Airlines,86,1.4,1235,1660.28
2023-04-07,4,April,2023,Seattle (SEA),Tokyo (NRT),Delta Airlines,123,1.55,871,1127.0
2023-06-15,6,June,2023,San Francisco (SFO),Tokyo (NRT),United Airlines,24,0.88,765,661.02
2023-12-28,12,December,2023,San Francisco (SFO),Osaka (KIX),United Airlines,29,1.0,812,876.16
2023-09-22,9,September,2023,New York (JFK),Tokyo (NRT),Delta Airlines,128,1.05,1200,1087.57
2023-05-07,5,May,2023,San Francisco (SFO),Tokyo (HND),ANA,152,1.4,800,929.63
2023-10-21,10,October,2023,Chicago (ORD),Tokyo (NRT),United Airlines,109,1.3,1082,1219.89
2024-03-27,3,March,2024,Chicago (ORD),Osaka (KIX),ANA,100,1.45,1235,1457.78
2024-01-18,1,January,2024,Seattle (SEA),Osaka (KIX),United Airlines,28,0.82,847,669.64
2023-09-27,9,September,2023,Chicago (ORD),Osaka (KIX),Delta Airlines,17,1.05,1224,1474.73
2023-09-08,9,September,2023,Seattle (SEA),Osaka (KIX),Japan Airlines,150,1.05,965,1012.21
2023-10-25,10,October,2023,New York (JFK),Tokyo (NRT),Japan Airlines,103,1.3,1294,1653.73
2023-03-16,3,March,2023,Los Angeles (LAX),Osaka (KIX),Delta Airlines,64,1.45,847,1326.43
2023-12-24,12,December,2023,Chicago (ORD),Tokyo (HND),Japan Airlines,126,1.0,1188,1075.18
2024-04-21,4,April,2024,Chicago (ORD),Osaka (KIX),American Airlines,34,1.55,1188,1929.58
2024-02-11,2,February,2024,New York (JFK),Tokyo (NRT),Japan Airlines,117,0.85,1294,963.23
2023-03-08,3,March,2023,Los Angeles (LAX),Tokyo (HND),United Airlines,88,1.45,735,1102.45
2023-08-06,8,August,2023,San Francisco (SFO),Osaka (KIX),Delta Airlines,128,0.95,906,902.95
2023-02-09,2,February,2023,New York (JFK),Tokyo (HND),Delta Airlines,146,0.85,1176,981.32
2024-10-17,10,October,2024,Los Angeles (LAX),Tokyo (HND),ANA,61,1.3,779,874.32
2024-09-07,9,September,2024,San Francisco (SFO),Osaka (KIX),Japan Airlines,104,1.05,941,882.2
2024-04-29,4,April,2024,New York (JFK),Tokyo (HND),Delta Airlines,61,1.55,1176,1957.18
2024-12-01,12,December,2024,New York (JFK),Tokyo (NRT),Japan Airlines,115,1.0,1294,1157.01
2023-03-27,3,March,2023,San Francisco (SFO),Tokyo (HND),ANA,43,1.45,800,1388.79
2023-03-25,3,March,2023,New York (JFK),Tokyo (HND),Delta Airlines,83,1.45,1176,1657.55
2023-08-08,8,August,2023,Chicago (ORD),Tokyo (HND),American Airlines,178,0.95,1082,1051.27
2023-04-05,4,April,2023,San Francisco (SFO),Tokyo (NRT),Japan Airlines,116,1.55,894,1403.76
2023-07-23,7,July,2023,San Francisco (SFO),Tokyo (HND),ANA,96,0.92,800,650.73
2024-07-02,7,July,2024,Chicago (ORD),Tokyo (HND),Delta Airlines,48,0.92,1106,1075.53
2024-02-03,2,February,2024,Chicago (ORD),Tokyo (HND),American Airlines,9,0.85,1082,1124.71
2023-03-21,3,March,2023,Seattle (SEA),Osaka (KIX),ANA,177,1.45,894,1263.56
2023-11-28,11,November,2023,Seattle (SEA),Osaka (KIX),ANA,177,1.25,894,1146.62
2024-04-14,4,April,2024,San Francisco (SFO),Tokyo (NRT),ANA,44,1.55,824,1278.23
2024-11-21,11,November,2024,Chicago (ORD),Tokyo (HND),Japan Airlines,111,1.25,1188,1363.95
2024-04-06,4,April,2024,San Francisco (SFO),Osaka (KIX),Japan Airlines,39,1.55,941,1610.31
2023-04-10,4,April,2023,Chicago (ORD),Osaka (KIX),American Airlines,16,1.55,1188,1960.5
2024-03-06,3,March,2024,Los Angeles (LAX),Osaka (KIX),ANA,146,1.45,808,1026.49
2023-08-10,8,August,2023,Los Angeles (LAX),Osaka (KIX),Delta Airlines,96,0.95,847,730.79
2023-01-15,1,January,2023,Los Angeles (LAX),Tokyo (NRT),American Airlines,101,0.82,759,560.18
2023-11-11,11,November,2023,San Francisco (SFO),Tokyo (NRT),United Airlines,135,1.25,765,856.5
2024-10-26,10,October,2024,New York (JFK),Osaka (KIX),Delta Airlines,123,1.3,1282,1750.37
2023-12-27,12,December,2023,Chicago (ORD),Tokyo (HND),United Airlines,145,1.0,1082,1102.78
2023-04-27,4,April,2023,Chicago (ORD),Osaka (KIX),United Airlines,52,1.55,1165,1818.04
2023-07-01,7,July,2023,Chicago (ORD),Tokyo (HND),United Airlines,148,0.92,1082,945.0
2024-03-22,3,March,2024,Seattle (SEA),Tokyo (NRT),American Airlines,104,1.45,824,1034.07
2024-10-11,10,October,2024,San Francisco (SFO),Osaka (KIX),Delta Airlines,79,1.3,906,1033.24
2023-04-17,4,April,2023,Seattle (SEA),Tokyo (NRT),Japan Airlines,29,1.55,918,1283.91
2023-04-17,4,April,2023,New York (JFK),Osaka (KIX),Delta Airlines,134,1.55,1282,1997.26
2024-10-10,10,October,2024,Seattle (SEA),Osaka (KIX),Japan Airlines,120,1.3,965,1245.68
2024-11-14,11,November,2024,Seattle (SEA),Osaka (KIX),Japan Airlines,81,1.25,965,1172.96
2024-04-10,4,April,2024,Chicago (ORD),Tokyo (NRT),ANA,148,1.55,1153,1760.62
2024-04-25,4,April,2024,Chicago (ORD),Tokyo (NRT),ANA,38,1.55,1153,2112.83
2024-10-22,10,October,2024,San Francisco (SFO),Tokyo (HND),Delta Airlines,108,1.3,835,1126.66
2024-06-03,6,June,2024,New York (JFK),Tokyo (HND),ANA,79,0.88,1200,1011.19
2023-11-11,11,November,2023,San Francisco (SFO),Osaka (KIX),United Airlines,113,1.25,812,874.17
2023-02-03,2,February,2023,Los Angeles (LAX),Tokyo (NRT),Delta Airlines,10,0.85,838,687.76
2024-06-15,6,June,2024,New York (JFK),Tokyo (NRT),United Airlines,160,0.88,1153,1019.22
2024-08-08,8,August,2024,San Francisco (SFO),Tokyo (HND),ANA,117,0.95,800,683.28
2023-07-17,7,July,2023,Los Angeles (LAX),Osaka (KIX),Delta Airlines,164,0.92,847,769.96
2024-03-15,3,March,2024,Chicago (ORD),Tokyo (NRT),American Airlines,39,1.45,1106,1800.89
2024-02-17,2,February,2024,Chicago (ORD),Osaka (KIX),ANA,88,0.85,1235,1129.93
2023-08-25,8,August,2023,Seattle (SEA),Tokyo (NRT),Delta Airlines,32,0.95,871,822.3
2024-10-08,10,October,2024,Los Angeles (LAX),Osaka (KIX),Japan Airlines,154,1.3,874,986.05
2024-07-20,7,July,2024,Chicago (ORD),Osaka (KIX),United Airlines,47,0.92,1165,1074.92
2023-04-06,4,April,2023,San Francisco (SFO),Tokyo (NRT),Japan Airlines,13,1.55,894,1345.82
2023-06-06,6,June,2023,Chicago (ORD),Tokyo (NRT),American Airlines,14,0.88,1106,919.77
2023-03-22,3,March,2023,Seattle (SEA),Osaka (KIX),American Airlines,153,1.45,871,1226.25
2024-04-09,4,April,2024,Chicago (ORD),Tokyo (NRT),ANA,169,1.55,1153,1708.54
2024-10-30,10,October,2024,San Francisco (SFO),Tokyo (NRT),ANA,63,1.3,824,1188.1
2023-09-09,9,September,2023,San Francisco (SFO),Tokyo (NRT),American Airlines,103,1.05,788,846.62
2023-10-09,10,October,2023,San Francisco (SFO),Osaka (KIX),Japan Airlines,28,1.3,941,1183.49
2024-10-15,10,October,2024,Los Angeles (LAX),Osaka (KIX),Japan Airlines,155,1.3,874,1067.19
2024-09-02,9,September,2024,New York (JFK),Tokyo (NRT),Delta Airlines,38,1.05,1200,1307.46
2023-09-26,9,September,2023,New York (JFK),Tokyo (NRT),United Airlines,53,1.05,1153,1219.59
2024-01-06,1,January,2024,New York (JFK),Tokyo (NRT),Delta Airlines,60,0.82,1200,883.98
2023-01-23,1,January,2023,Chicago (ORD),Tokyo (NRT),Delta Airlines,112,0.82,1141,930.47
2023-08-04,8,August,2023,New York (JFK),Tokyo (HND),Japan Airlines,114,0.95,1247,1203.19
2023-06-14,6,June,2023,Chicago (ORD),Tokyo (HND),Delta Airlines,53,0.88,1106,1025.65
2024-11-06,11,November,2024,San Francisco (SFO),Tokyo (NRT),ANA,152,1.25,824,896.64
2023-12-18,12,December,2023,Seattle (SEA),Tokyo (NRT),Japan Airlines,95,1.0,918,883.01
2024-07-13,7,July,2024,Chicago (ORD),Osaka (KIX),American Airlines,8,0.92,1188,1187.02
2023-05-05,5,May,2023,Los Angeles (LAX),Osaka (KIX),United Airlines,56,1.4,765,1014.41
2023-01-24,1,January,2023,Seattle (SEA),Tokyo (NRT),American Airlines,139,0.82,824,596.84
2024-01-09,1,January,2024,Seattle (SEA),Tokyo (NRT),ANA,36,0.82,847,662.1
2023-05-22,5,May,2023,Los Angeles (LAX),Tokyo (NRT),United Airlines,63,1.4,735,1009.29
2023-10-02,10,October,2023,New York (JFK),Osaka (KIX),ANA,77,1.3,1318,1636.1
2023-12-23,12,December,2023,Chicago (ORD),Tokyo (NRT),Japan Airlines,148,1.0,1235,1141.08
2024-03-22,3,March,2024,San Francisco (SFO),Tokyo (HND),Delta Airlines,138,1.45,835,1287.13
2023-06-27,6,June,2023,Chicago (ORD),Tokyo (NRT),United Airlines,57,0.88,1082,926.93
2024-08-20,8,August,2024,San Francisco (SFO),Tokyo (HND),Japan Airlines,157,0.95,847,751.2
2024-05-14,5,May,2024,San Francisco (SFO),Tokyo (NRT),ANA,117,1.4,824,1043.72
2023-10-06,10,October,2023,Chicago (ORD),Tokyo (HND),American Airlines,88,1.3,1082,1472.44
2024-01-28,1,January,2024,Seattle (SEA),Tokyo (NRT),American Airlines,116,0.82,824,647.74
2024-01-18,1,January,2024,Los Angeles (LAX),Osaka (KIX),United Airlines,168,0.82,765,554.84
2023-02-04,2,February,2023,New York (JFK),Tokyo (HND),ANA,137,0.85,1200,1052.33
2023-10-28,10,October,2023,San Francisco (SFO),Osaka (KIX),Delta Airlines,161,1.3,906,1090.64
2023-01-31,1,January,2023,Seattle (SEA),Tokyo (HND),Delta Airlines,36,0.82,847,744.22
2023-07-10,7,July,2023,Los Angeles (LAX),Tokyo (HND),Delta Airlines,98,0.92,882,648.17
